,Unnamed: 0,gene_id_x,gene_name,gene_type,gene_id_y,entrez_id,chromosome,strand,number_of_transcripts,median_transcriptome_length,median_genome_length,median_number_of_exons,median_gene_start,median_gene_end
1505,1505,ENSG00000277209,RPPH1,ribozyme,59641.0,85495.0,14,-,1.0,340.0,340.0,1.0,20811230.0,20811570.0
1510,1510,ENSG00000280498,SNORA16A,snoRNA,169142.0,692073.0,1,-,1.0,133.0,133.0,1.0,28907432.0,28907565.0
1511,1511,ENSG00000274582,SNORA16A,snoRNA,169142.0,692073.0,1,-,1.0,133.0,133.0,1.0,28907432.0,28907565.0
1528,1528,ENSG00000202031,SNORD38A,snoRNA,60806.0,94162.0,1,+,1.0,70.0,70.0,1.0,45243514.0,45243584.0
1529,1529,ENSG00000252153,MIR2278,miRNA,1023295.0,100313780.0,9,+,1.0,95.0,95.0,1.0,97572244.0,97572339.0
1547,1547,ENSG00000199293,SNORA21,snoRNA,166361.0,619505.0,17,-,1.0,132.0,132.0,1.0,37009116.0,37009248.0
1565,1565,ENSG00000264755,MIR3131,miRNA,1023774.0,100422957.0,2,-,1.0,62.0,62.0,1.0,219923410.0,219923472.0
1566,1566,ENSG00000221445,MIR1301,miRNA,1023057.0,100302246.0,2,-,1.0,81.0,81.0,1.0,25551509.0,25551590.0
1576,1576,ENSG00000284191,MIR671,miRNA,1013353.0,768213.0,7,+,1.0,117.0,117.0,1.0,150935507.0,150935624.0
1592,1592,ENSG00000208025,MIR591,miRNA,1013169.0,693176.0,7,-,1.0,94.0,94.0,1.0,95848974.0,95849068.0
1594,1594,ENSG00000283532,MIR4317,miRNA,1023657.0,100422840.0,18,-,1.0,64.0,64.0,1.0,6374360.0,6374424.0
1597,1597,ENSG00000211582,MIR758,miRNA,1013352.0,768212.0,14,+,1.0,87.0,87.0,1.0,101492357.0,101492444.0
1604,1604,ENSG00000215991,MIR208B,miRNA,1013751.0,100126336.0,14,-,1.0,76.0,76.0,1.0,23887196.0,23887272.0
1606,1606,ENSG00000199109,MIR411,miRNA,1013116.0,693121.0,14,+,1.0,95.0,95.0,1.0,101489662.0,101489757.0
1614,1614,ENSG00000223224,SNORD71,snoRNA,180623.0,692111.0,16,-,1.0,85.0,85.0,1.0,71792305.0,71792390.0
1615,1615,ENSG00000284508,MIR133A2,miRNA,128033.0,406923.0,20,+,1.0,101.0,101.0,1.0,61162119.0,61162220.0
1622,1622,ENSG00000207647,MIR153-1,miRNA,128054.0,406944.0,2,-,1.0,89.0,89.0,1.0,220158833.0,220158922.0
1625,1625,ENSG00000281185,GPX6,protein_coding,90402.0,257202.0,6,-,1.0,1707.0,12497.0,5.0,28471073.0,28483570.0
1626,1626,ENSG00000198704,GPX6,protein_coding,90402.0,257202.0,6,-,1.0,1707.0,12497.0,5.0,28471073.0,28483570.0
1628,1628,ENSG00000283603,MIR4302,miRNA,1023714.0,100422897.0,12,-,1.0,59.0,59.0,1.0,26026953.0,26027012.0
1630,1630,ENSG00000207735,MIR520D,miRNA,1012777.0,574482.0,19,+,1.0,86.0,86.0,1.0,54223350.0,54223436.0
1641,1641,ENSG00000222831,MIR1537,miRNA,1022962.0,100302139.0,1,-,1.0,60.0,60.0,1.0,236016300.0,236016360.0
1644,1644,ENSG00000283899,MIR761,miRNA,1023392.0,100313892.0,1,-,1.0,58.0,58.0,1.0,52302016.0,52302074.0
1645,1645,ENSG00000199574,SNORD18C,snoRNA,142305.0,595100.0,15,-,1.0,66.0,66.0,1.0,66793590.0,66793656.0
1649,1649,ENSG00000284202,MIR137,miRNA,128038.0,406928.0,1,-,1.0,101.0,101.0,1.0,98511626.0,98511727.0
1660,1660,ENSG00000283736,MIR484,miRNA,1012900.0,619553.0,16,+,1.0,78.0,78.0,1.0,15737151.0,15737229.0
1661,1661,ENSG00000199961,SNORD1B,snoRNA,1013079.0,677849.0,17,+,1.0,85.0,85.0,1.0,74557190.0,74557275.0
1662,1662,ENSG00000207145,SNORA18,snoRNA,166764.0,677805.0,11,-,1.0,131.0,131.0,1.0,93466632.0,93466763.0
1666,1666,ENSG00000200959,SNORA74A,snoRNA,26567.0,26821.0,5,+,1.0,199.0,199.0,1.0,138614469.0,138614668.0
1689,1689,ENSG00000202048,SNORD114-20,snoRNA,1013332.0,767598.0,14,+,1.0,70.0,70.0,1.0,101447341.0,101447411.0
1693,1693,ENSG00000216075,MIR890,miRNA,1013721.0,100126303.0,X,-,1.0,76.0,76.0,1.0,145075793.0,145075869.0
1698,1698,ENSG00000212464,SNORA12,snoRNA,166646.0,677800.0,10,-,1.0,146.0,146.0,1.0,101996913.0,101997059.0
1700,1700,ENSG00000251896,SNORD116-27,snoRNA,1013517.0,100033439.0,15,+,1.0,93.0,93.0,1.0,25346721.0,25346814.0
1704,1704,ENSG00000212232,SNORD17,snoRNA,182446.0,692086.0,20,-,1.0,236.0,236.0,1.0,17943353.0,17943589.0
1782,1782,ENSG00000207559,MIR578,miRNA,1013156.0,693163.0,4,+,1.0,95.0,95.0,1.0,166307394.0,166307489.0
1784,1784,ENSG00000274566,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1785,1785,ENSG00000274050,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1786,1786,ENSG00000275931,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1787,1787,ENSG00000275633,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1788,1788,ENSG00000278316,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1789,1789,ENSG00000088053,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1790,1790,ENSG00000278670,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1791,1791,ENSG00000277439,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1792,1792,ENSG00000276211,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1793,1793,ENSG00000276065,GP6,protein_coding,30688.0,51206.0,19,-,2.0,2256.0,24557.0,8.0,55525075.0,55549632.0
1796,1796,ENSG00000207589,MIR508,miRNA,1012808.0,574513.0,X,-,1.0,114.0,114.0,1.0,146318431.0,146318545.0
1797,1797,ENSG00000266690,MIR4274,miRNA,1023643.0,100422826.0,4,+,1.0,90.0,90.0,1.0,7461755.0,7461845.0
1811,1811,ENSG00000284567,MIR223,miRNA,128118.0,407008.0,X,+,1.0,109.0,109.0,1.0,65238712.0,65238821.0
1814,1814,ENSG00000284146,MIR922,miRNA,1013737.0,100126321.0,3,-,1.0,80.0,80.0,1.0,197401367.0,197401447.0
1822,1822,ENSG00000200785,SNORD8,snoRNA,106040.0,319103.0,14,-,1.0,108.0,108.0,1.0,21865452.0,21865560.0
1826,1826,ENSG00000281243,SNORD36B,snoRNA,26560.0,26814.0,9,+,1.0,70.0,70.0,1.0,136216949.0,136217019.0
1827,1827,ENSG00000200831,SNORD36B,snoRNA,26560.0,26814.0,9,+,1.0,70.0,70.0,1.0,136216949.0,136217019.0
1830,1830,ENSG00000284459,MIR24-1,miRNA,128122.0,407012.0,9,+,1.0,67.0,67.0,1.0,97848303.0,97848370.0
1832,1832,ENSG00000206775,SNORD37,snoRNA,26558.0,26812.0,19,-,1.0,65.0,65.0,1.0,3982505.0,3982570.0
1840,1840,ENSG00000207925,MIR516B2,miRNA,1012780.0,574485.0,19,+,1.0,84.0,84.0,1.0,54228696.0,54228780.0
1847,1847,ENSG00000221710,MIR1298,miRNA,1022975.0,100302153.0,X,+,1.0,111.0,111.0,1.0,113949650.0,113949761.0
1848,1848,ENSG00000207818,MIR105-2,miRNA,128008.0,406898.0,X,-,1.0,80.0,80.0,1.0,151562884.0,151562964.0
1849,1849,ENSG00000207633,MIR505,miRNA,1012803.0,574508.0,X,-,1.0,83.0,83.0,1.0,139006307.0,139006390.0
1850,1850,ENSG00000284140,MIR3618,miRNA,157120805.0,100500860.0,22,+,1.0,87.0,87.0,1.0,20073269.0,20073356.0
1852,1852,ENSG00000264934,MIR4265,miRNA,1023680.0,100422863.0,2,-,1.0,98.0,98.0,1.0,109757946.0,109758044.0
1854,1854,ENSG00000284172,MIR4315-2,miRNA,1023778.0,100422961.0,17,-,2.0,72.0,72.0,1.0,53185438.0,53185510.0
1855,1855,ENSG00000207991,MIR601,miRNA,1013178.0,693186.0,9,-,1.0,78.0,78.0,1.0,126164804.0,126164882.0
1862,1862,ENSG00000215943,MIR892A,miRNA,1013757.0,100126342.0,X,-,1.0,74.0,74.0,1.0,145078187.0,145078261.0
1864,1864,ENSG00000221669,MIR548N,miRNA,1022974.0,100302152.0,2,+,1.0,74.0,294204.0,5.0,179246805.0,179541009.0
1866,1866,ENSG00000207797,MIR187,miRNA,128073.0,406963.0,18,-,1.0,108.0,108.0,1.0,33484781.0,33484889.0
1868,1868,ENSG00000266189,MIR3186,miRNA,1023761.0,100422944.0,17,-,1.0,84.0,84.0,1.0,79418130.0,79418214.0
1870,1870,ENSG00000280466,SCARNA4,scaRNA,165816.0,677771.0,1,-,1.0,128.0,128.0,1.0,155895749.0,155895877.0
1871,1871,ENSG00000281394,SCARNA4,scaRNA,165816.0,677771.0,1,-,1.0,128.0,128.0,1.0,155895749.0,155895877.0
1872,1872,ENSG00000264675,MIR4285,miRNA,1023675.0,100422858.0,7,+,1.0,84.0,84.0,1.0,101936369.0,101936453.0
1875,1875,ENSG00000198983,MIR449A,miRNA,1012689.0,554213.0,5,-,1.0,90.0,90.0,1.0,54466360.0,54466450.0
1877,1877,ENSG00000238531,SNORD105B,snoRNA,1013662.0,100113382.0,19,+,1.0,91.0,91.0,1.0,10220425.0,10220516.0
1878,1878,ENSG00000221616,MIR548H4,miRNA,1023386.0,100313884.0,15,+,1.0,78.0,373559.0,5.0,69116303.0,69489862.0
1879,1879,ENSG00000283677,MIR3913-2,miRNA,157120821.0,100500868.0,12,+,1.0,99.0,99.0,1.0,69978503.0,69978602.0
1885,1885,ENSG00000200084,SNORD68,snoRNA,149626.0,606500.0,16,+,1.0,71.0,71.0,1.0,89627838.0,89627909.0
1887,1887,ENSG00000207963,MIR569,miRNA,1013147.0,693154.0,3,-,1.0,95.0,95.0,1.0,170824453.0,170824548.0
1895,1895,ENSG00000200279,SNORD114-10,snoRNA,1013322.0,767588.0,14,+,1.0,70.0,70.0,1.0,101433389.0,101433459.0
1896,1896,ENSG00000207719,MIR623,miRNA,1013200.0,693208.0,13,+,1.0,97.0,97.0,1.0,100008385.0,100008482.0
1899,1899,ENSG00000199038,MIR210,miRNA,128102.0,406992.0,11,-,1.0,109.0,109.0,1.0,568089.0,568198.0
1900,1900,ENSG00000276296,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1901,1901,ENSG00000276263,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1902,1902,ENSG00000278161,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1903,1903,ENSG00000274073,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1904,1904,ENSG00000276323,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1905,1905,ENSG00000276022,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1906,1906,ENSG00000275086,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1907,1907,ENSG00000276504,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1908,1908,ENSG00000105619,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1909,1909,ENSG00000273833,TFPT,protein_coding,29579.0,29844.0,19,-,1.0,1199.0,8735.0,6.0,54610320.0,54619055.0
1913,1913,ENSG00000207650,MIR570,miRNA,1013148.0,693155.0,3,+,1.0,96.0,96.0,1.0,195426272.0,195426368.0
1914,1914,ENSG00000207713,MIR200C,miRNA,128095.0,406985.0,12,+,1.0,67.0,67.0,1.0,7072862.0,7072929.0
1917,1917,ENSG00000198972,MIRLET7E,miRNA,127997.0,406887.0,19,+,1.0,78.0,78.0,1.0,52196039.0,52196117.0
1919,1919,ENSG00000207805,MIR483,miRNA,1012899.0,619552.0,11,-,1.0,75.0,75.0,1.0,2155364.0,2155439.0
1923,1923,ENSG00000221028,MIR1231,miRNA,1022979.0,100302158.0,1,+,1.0,91.0,91.0,1.0,201777739.0,201777830.0
1930,1930,ENSG00000210741,MIR196A1,miRNA,128082.0,406972.0,17,-,1.0,69.0,69.0,1.0,46709852.0,46709921.0
1936,1936,ENSG00000200413,SNORD114-26,snoRNA,1013338.0,767606.0,14,+,1.0,70.0,70.0,1.0,101453383.0,101453453.0
1937,1937,ENSG00000280263,ACTR3BP2,processed_pseudogene,134022.0,440888.0,2,+,1.0,1337.0,1337.0,1.0,92129159.0,92130496.0
1938,1938,ENSG00000226481,ACTR3BP2,processed_pseudogene,134022.0,440888.0,2,+,1.0,1337.0,1337.0,1.0,92129159.0,92130496.0
1940,1940,ENSG00000265172,MIR4262,miRNA,1023813.0,100422996.0,2,-,1.0,53.0,53.0,1.0,11977059.0,11977112.0
1945,1945,ENSG00000212040,MIR543,miRNA,1013750.0,100126335.0,14,+,1.0,77.0,77.0,1.0,101498324.0,101498401.0
1948,1948,ENSG00000207803,MIR518A1,miRNA,1012783.0,574488.0,19,+,1.0,84.0,84.0,1.0,54234260.0,54234344.0
1956,1956,ENSG00000212051,MIR320C2,miRNA,1023015.0,100302195.0,18,+,1.0,49.0,49.0,1.0,21901650.0,21901699.0
1958,1958,ENSG00000283126,MIR1297,miRNA,1023007.0,100302187.0,13,-,1.0,76.0,76.0,1.0,54886107.0,54886183.0
1970,1970,ENSG00000207546,MIR548C,miRNA,1013124.0,693129.0,12,+,1.0,96.0,96.0,1.0,65016289.0,65016385.0
1973,1973,ENSG00000265754,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1974,1974,ENSG00000263994,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1975,1975,ENSG00000266847,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1976,1976,ENSG00000263879,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1977,1977,ENSG00000266004,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1978,1978,ENSG00000264153,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1979,1979,ENSG00000200816,SNORA38,snoRNA,167036.0,677820.0,6,+,1.0,131.0,131.0,1.0,31590856.0,31590987.0
1982,1982,ENSG00000200987,SNORD115-30,snoRNA,1013542.0,100033804.0,15,+,1.0,81.0,81.0,1.0,25470350.0,25470431.0
1984,1984,ENSG00000284219,MIR202,miRNA,1012743.0,574448.0,10,-,1.0,109.0,109.0,1.0,135061015.0,135061124.0
1993,1993,ENSG00000275072,SNORD50B,snoRNA,181356.0,692088.0,6,-,1.0,70.0,70.0,1.0,86387307.0,86387377.0
2015,2015,ENSG00000283894,MIR1324,miRNA,1023030.0,100302212.0,3,+,1.0,95.0,95.0,1.0,75679914.0,75680009.0
2018,2018,ENSG00000238705,MIR1976,miRNA,1023010.0,100302190.0,1,+,1.0,51.0,51.0,1.0,26881033.0,26881084.0
2019,2019,ENSG00000280948,MIR1976,miRNA,1023010.0,100302190.0,1,+,1.0,51.0,51.0,1.0,26881033.0,26881084.0
2023,2023,ENSG00000277985,SNORA67,snoRNA,26527.0,26781.0,17,+,1.0,136.0,136.0,1.0,7481273.0,7481409.0
2056,2056,ENSG00000275577,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2057,2057,ENSG00000276066,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2058,2058,ENSG00000276363,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2059,2059,ENSG00000274887,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2060,2060,ENSG00000277607,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2061,2061,ENSG00000275962,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2062,2062,ENSG00000189068,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2063,2063,ENSG00000276159,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2064,2064,ENSG00000274953,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2065,2065,ENSG00000275330,VSTM1,protein_coding,94297.0,284415.0,19,-,1.0,1013.0,23127.0,9.0,54544080.0,54567207.0
2071,2071,ENSG00000265281,MIR3935,miRNA,157120867.0,100500891.0,16,+,1.0,103.0,103.0,1.0,56279432.0,56279535.0
2092,2092,ENSG00000207405,SNORA64,snoRNA,26530.0,26784.0,16,-,1.0,133.0,133.0,1.0,2012974.0,2013107.0
2093,2093,ENSG00000266019,MIR3609,miRNA,157120723.0,100500819.0,7,+,1.0,79.0,79.0,1.0,98479273.0,98479352.0
2112,2112,ENSG00000276365,MIR145,miRNA,128047.0,406937.0,5,+,1.0,87.0,87.0,1.0,148810209.0,148810296.0
2117,2117,ENSG00000275474,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2118,2118,ENSG00000278149,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2119,2119,ENSG00000278284,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2120,2120,ENSG00000276341,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2121,2121,ENSG00000273944,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2122,2122,ENSG00000160439,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2123,2123,ENSG00000276826,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2124,2124,ENSG00000274418,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2125,2125,ENSG00000276684,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2126,2126,ENSG00000274504,RDH13,protein_coding,76604.0,112724.0,19,-,4.0,2075.0,18893.0,8.0,55555692.0,55574585.0
2130,2130,ENSG00000264405,MIR3913-1,miRNA,157120891.0,100500903.0,12,-,1.0,101.0,101.0,1.0,69978502.0,69978603.0
2150,2150,ENSG00000207706,MIR518F,miRNA,1012767.0,574472.0,19,+,1.0,86.0,86.0,1.0,54203269.0,54203355.0
2163,2163,ENSG00000263615,MIR4306,miRNA,1023678.0,100422861.0,13,+,1.0,90.0,90.0,1.0,100295313.0,100295403.0
2173,2173,ENSG00000284415,MIR1287,miRNA,1022956.0,100302133.0,10,-,1.0,89.0,89.0,1.0,100154975.0,100155064.0
2174,2174,ENSG00000207221,SNORA70E,snoRNA,1023496.0,100379250.0,11,-,1.0,134.0,134.0,1.0,82752506.0,82752640.0
2177,2177,ENSG00000281541,SNORD36C,snoRNA,26559.0,26813.0,9,+,1.0,66.0,66.0,1.0,136217701.0,136217767.0
2178,2178,ENSG00000252542,SNORD36C,snoRNA,26559.0,26813.0,9,+,1.0,66.0,66.0,1.0,136217701.0,136217767.0
2179,2179,ENSG00000265392,MIR4252,miRNA,1023792.0,100422975.0,1,-,1.0,62.0,62.0,1.0,6489894.0,6489956.0
2189,2189,ENSG00000200636,SNORD114-27,snoRNA,1013339.0,767608.0,14,+,1.0,68.0,68.0,1.0,101454498.0,101454566.0
2190,2190,ENSG00000264994,SNORD92,snoRNA,169600.0,692209.0,2,+,1.0,88.0,88.0,1.0,29136528.0,29136616.0
2196,2196,ENSG00000202261,SNORD115-44,snoRNA,1013556.0,100033818.0,15,+,1.0,81.0,81.0,1.0,25496006.0,25496087.0
2204,2204,ENSG00000280858,RPL7A,protein_coding,6098.0,6130.0,9,+,1.0,882.0,3211.0,8.0,136215069.0,136218280.0
2205,2205,ENSG00000148303,RPL7A,protein_coding,6098.0,6130.0,9,+,1.0,882.0,3211.0,8.0,136215069.0,136218280.0
2223,2223,ENSG00000200564,SNORD115-39,snoRNA,1013551.0,100033813.0,15,+,1.0,81.0,81.0,1.0,25486893.0,25486974.0
